City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Tuktoyaktuk,69.4541,-133.0374,53.15,56,57,12.46,CA,1627077620
Lyman,48.9884,37.8023,61.88,59,0,3.94,UA,1627077621
Stranda,62.3096,6.9358,60.35,91,97,2.01,NO,1627077622
Punta Arenas,-53.15,-70.9167,37.11,86,57,18.03,CL,1627077622
Aklavik,68.2191,-135.0107,63.43,72,75,4.61,CA,1627077544
Rikitea,-23.1203,-134.9692,71.35,60,88,13.35,PF,1627077623
Ushuaia,-54.8,-68.3,37.06,87,40,19.57,AR,1627077480
Palmer,42.1584,-72.3287,77.63,68,75,2.98,US,1627077624
Mataura,-46.1927,168.8643,45.48,78,45,2.95,NZ,1627077625
Portland,45.5234,-122.6762,86.56,27,0,1.99,US,1627077504
Vaini,-21.2,-175.2,75.92,84,12,9.13,TO,1627077626
Blackwater,-23.5833,148.8833,60.73,48,0,8.95,AU,1627077627
Saskylakh,71.9167,114.0833,55.62,75,98,16.35,RU,1627077627
Provideniya,64.3833,-173.3,53.82,62,56,7.9,RU,1627077554
Bambous Virieux,-20.3428,57.7575,68.25,83,75,5.75,MU,1627077571
Acapulco de Juárez,16.8634,-99.8901,87.49,70,98,8.12,MX,1627077628
Busselton,-33.65,115.3333,48.09,64,99,13.24,AU,1627077390
Ribeira Grande,38.5167,-28.7,71.73,94,100,8.3,PT,1627077629
Beringovskiy,63.05,179.3167,53.2,81,100,6.04,RU,1627077589
Tiksi,71.6872,128.8694,43.63,85,97,4.61,RU,1627077404
Bermejo,-32.8833,-68.8,59.99,27,45,9.35,AR,1627077630
Hilo,19.7297,-155.09,91.27,88,90,0.0,US,1627077631
Hobart,-42.8794,147.3294,45.1,86,40,1.99,AU,1627077551
Cayenne,4.9333,-52.3333,83.08,82,0,5.01,GF,1627077604
Fortuna,40.5982,-124.1573,97.48,66,1,3.0,US,1627077489
Prince Rupert,54.3161,-130.3201,60.89,87,90,10.36,CA,1627077412
Fallon,39.4735,-118.7774,97.45,12,4,2.04,US,1627077632
Hwange,-18.3693,26.5019,57.34,24,29,5.79,ZW,1627077633
Butaritari,3.0707,172.7902,83.57,74,43,15.41,KI,1627077634
Barra de Tecoanapa,16.5167,-98.75,88.07,62,78,10.89,MX,1627077634
Chimoio,-19.1164,33.4833,54.86,85,81,7.45,MZ,1627077635
Yulara,-25.2406,130.9889,46.71,58,5,5.99,AU,1627077635
Humberto de Campos,-2.5983,-43.4611,76.15,83,14,5.53,BR,1627077636
Pacific Grove,36.6177,-121.9166,94.28,77,38,1.99,US,1627077636
Faanui,-16.4833,-151.75,78.15,67,10,14.83,PF,1627077544
Jamestown,42.097,-79.2353,78.08,53,9,3.0,US,1627077565
Praia da Vitória,38.7333,-27.0667,71.76,96,99,13.78,PT,1627077637
Nanortalik,60.1432,-45.2371,43.07,85,37,11.05,GL,1627077638
Grindavik,63.8424,-22.4338,54.55,100,90,14.97,IS,1627077638
Atuona,-9.8,-139.0333,77.32,76,40,11.41,PF,1627077639
Kruisfontein,-34.0033,24.7314,44.26,76,36,5.08,ZA,1627077639
Narsaq,60.9167,-46.05,49.82,64,7,3.18,GL,1627077565
East London,-33.0153,27.9116,52.99,66,94,3.67,ZA,1627077640
Port Alfred,-33.5906,26.891,53.26,66,100,4.43,ZA,1627077551
Dikson,73.5069,80.5464,44.65,70,99,15.17,RU,1627077618
Enterprise,36.0252,-115.2419,105.24,24,64,7.0,US,1627077641
Airai,-8.9266,125.4092,56.14,34,22,3.4,TL,1627077641
Taldan,53.6667,124.8,66.02,99,100,1.9,RU,1627077642
Jadu,31.953,12.0261,74.59,41,0,7.96,LY,1627077642
Tevriz,57.509,72.4042,63.36,96,43,4.85,RU,1627077642
Ancud,-41.8697,-73.8203,46.22,77,93,8.08,CL,1627077643
Antalaha,-14.9003,50.2788,67.68,77,21,6.71,MG,1627077643
Luang Prabang,19.8856,102.1347,74.82,100,99,1.77,LA,1627077644
Lavrentiya,65.5833,-171.0,49.87,69,74,8.63,RU,1627077519
Mandalgovi,45.7625,106.2708,64.69,49,75,3.74,MN,1627077644
Menongue,-14.6585,17.691,48.2,27,37,4.76,AO,1627077645
Arlit,18.7369,7.3853,96.96,26,28,7.43,NE,1627077645
Vila Franca do Campo,37.7167,-25.4333,70.21,86,91,5.41,PT,1627077645
Semnan,35.5729,53.3971,84.78,34,0,9.26,IR,1627077646
Dalvik,65.9702,-18.5286,60.22,81,66,8.52,IS,1627077647
Albany,42.6001,-73.9662,77.58,57,55,6.82,US,1627077647
Saint-Philippe,-21.3585,55.7679,67.59,74,27,6.85,RE,1627077406
Mahébourg,-20.4081,57.7,68.29,83,75,5.75,MU,1627077547
Port Elizabeth,-33.918,25.5701,44.89,87,90,4.61,ZA,1627077387
Laiyang,36.9758,120.7136,74.26,80,92,1.95,CN,1627077648
Sambava,-14.2667,50.1667,66.72,87,9,9.35,MG,1627077649
Kirovskiy,45.0917,133.5136,80.87,73,90,3.53,RU,1627077649
Mitsamiouli,-11.3847,43.2844,77.22,68,23,10.18,KM,1627077650
Esperance,-33.8667,121.9,52.02,75,70,24.34,AU,1627077650
Torbay,47.6666,-52.7314,62.76,95,75,4.61,CA,1627077651
Kahului,20.8947,-156.47,85.26,81,35,13.0,US,1627077546
